region,block,kr
1,01,0.63
1,02,0.68
1,03,0.63
1,04,0.73
1,05,0.63
1,06,0.57
1,07,0.63
1,08,0.63
1,09,0.63
1,10,0.73
1,11,0.63
1,12,0.73
1,13,0.67
1,14,0.63
1,15,0.68
1,16,0.63
1,17,0.63
1,18,0.63
1,19,0.63
1,20,0.63
1,21,0.63
1,22,0.68
1,23,1.03
2,01,0.48
2,02,0.53
2,03,0.68
2,04,0.38
2,05,0.42
2,06,0.53
2,07,0.43
2,08,0.48
2,09,0.48
2,10,0.53
2,11,0.53
2,12,0.43
2,13,0.48
2,14,0.48
2,15,0.43
2,16,0.53
2,17,0.58
2,18,0.53
2,19,0.53
3,1,0.65
3,2,0.65
3,3,0.65
3,4,0.65
3,5,0.65
3,6,0.65
3,7,0.65
3,8,0.80
3,9,0.75
3,10,0.65
3,11,0.65
3,12,0.65
3,13,0.65
3,14,0.65
3,15,0.65
3,16,0.65
4,1,0.49
4,2,0.49
4,4,0.49
4,5,0.43
4,6,0.43
4,7,0.49
4,8,0.43
4,9,0.49
4,10,0.49
4,11,0.49
4,12,0.57
4,13,0.63
4,14,0.49
4,15,0.58
4,16,0.58
4,17,0.49
4,18,0.58
4,19,0.43
4,20,0.58
5,1,0.45
5,2,0.45
5,3,0.40
5,4,0.40
5,5,0.45
5,6,0.45
5,7,0.45
5,8,0.45
5,9,0.45
5,10,0.45
5,11,0.45
5,12,0.45
5,13,0.45
5,14,0.45
5,15,0.45
5,16,0.45
5,17,0.40
5,18,0.45
5,19,0.38
5,20,0.38
6,1,0.47
6,2,0.53
6,3,0.53
6,4,0.40
6,5,0.60
6,6,0.53
6,7,0.47
6,8,0.40
6,9,0.27
6,10,0.34
6,11,0.60
6,12,0.60
6,13,0.48
6,14,0.48
6,15,0.68
6,16,0.60
7,1,0.50
7,2,0.58
7,3,0.49
7,4,0.49
7,5,0.36
7,6,0.43
7,7,0.50
7,8,0.58
8,1,0.39
8,2,0.39
8,3,0.47
8,4,0.57
8,5,0.49
9,1,0.33
9,2,0.20
9,3,0.20
9,4,0.26
10,1,0.25
10,2,0.25
10,3,0.25
11,1,0.50
11,2,0.25
11,3,0.25
11,4,0.25
11,5,0.25
11,6,0.25
11,7,0.25
11,8,0.25
11,9,0.25
12,1,0.20
12,2,0.20
12,3,0.20
12,4,0.33
12,5,0.40
12,6,0.20
12,7,0.20
12,8,0.26
12,9,0.20
12,10,0.20
12,11,0.20
12,12,0.20
12,13,0.26
12,14,0.26
12,15,0.26
12,16,0.20
13,1,0.22
13,2,0.22
13,3,0.22
13,4,0.30
14,1,0.20
14,2,0.20
14,3,0.20
14,4,0.20
14,5,0.20
15,1,0.20
15,2,0.20
15,3,0.26
15,4,0.20
15,5,0.20
15,6,0.20
15,7,0.20
15,8,0.20
15,9,0.20
15,10,0.20
15,11,0.26
16,1,0.20
16,2,0.20
16,3,0.27
16,4,0.20
16,5,0.27
16,6,0.20
16,7,0.20
17,1,0.27
17,2,0.33
17,3,0.27
17,4,0.27
17,5,0.27
17,6,0.27
18,1,0.30
18,2,0.30
18,3,0.30
18,4,0.22
18,5,0.22
18,6,0.30
18,7,0.22
18,8,0.22
18,9,0.30
19,1,0.25
19,2,0.19
19,3,0.19
19,4,0.19
19,5,0.19
19,6,0.25
19,7,0.19
19,8,0.25
20,1,0.25
20,2,0.25
20,3,0.25
20,4,0.21
20,5,0.25
20,6,0.25
20,7,0.25
20,8,0.25
21,1,0.39
21,2,0.28
21,3,0.34
21,4,0.34
21,5,0.34
21,6,0.34
22,1(a),0.38
22,2(a),0.42
22,3,0.70
22,4,0.75
22,5,0.60
